"CO_ANO";"CO_MES";"VL_EXP";"VL_IMP"
1997;1;31187310;47347005
1997;2;32705355;76445196
1997;3;39544712;91428184
1997;4;45368765;110794299
1997;5;41452397;119411683
1997;6;36460611;116001123
1997;7;46281291;140470118
1997;8;45295807;140193791
1997;9;53287944;112951181
1997;10;55425082;130343218
1997;11;41968675;86676630
1997;12;51876685;86870715
1998;1;39113494;90974495
1998;2;40855258;78130419
1998;3;46928997;99344483
1998;4;46436940;96192385
1998;5;40746380;100501183
1998;6;45386366;95631472
1998;7;46027581;112929447
1998;8;40294801;79718831
1998;9;49381980;100064385
1998;10;46271663;105435641
1998;11;44318225;102054338
1998;12;55378036;93115409
1999;1;35424724;108014373
1999;2;35104345;108283261
1999;3;48138821;130618884
1999;4;38131462;113663380
1999;5;52856463;113124640
1999;6;54668027;129271357
1999;7;58437377;99365164
1999;8;57258785;102290016
1999;9;54143487;108996043
1999;10;69016783;119373596
1999;11;64872082;106019583
1999;12;69406038;84403030
2000;1;46910288;80474329
2000;2;56833783;83217443
2000;3;73745175;91202882
2000;4;52137150;95322162
2000;5;62799973;113812190
2000;6;71892553;123494163
2000;7;61484322;130932579
2000;8;69708541;125488213
2000;9;73872073;116746383
2000;10;63660519;121533322
2000;11;69457645;108424886
2000;12;60183176;98452181
2001;1;45919647;104051782
2001;2;48223704;77502753
2001;3;73400225;116639298
2001;4;60316071;109775296
2001;5;71362876;114772049
2001;6;76849362;95695159
2001;7;81045547;108341235
2001;8;79885748;106170651
2001;9;51528328;85882775
2001;10;53398073;82582106
2001;11;66625765;71463702
2001;12;44833591;60158471
2002;1;29180002;79044926
2002;2;37557280;71540352
2002;3;52615029;67898217
2002;4;44242765;72836144
2002;5;40520409;61651180
2002;6;46211756;72139992
2002;7;51998018;110531160
2002;8;51527447;73438984
2002;9;42322727;68252069
2002;10;43722982;71983314
2002;11;42446617;59035108
2002;12;37459167;56042888
2003;1;32803558;58330890
2003;2;43423854;55814757
2003;3;47316491;58970621
2003;4;47583845;51215530
2003;5;42398727;55128943
2003;6;63888421;51653187
2003;7;60451427;50744268
2003;8;45115594;51422128
2003;9;82434292;58657512
2003;10;50305756;55337342
2003;11;46908030;58600453
2003;12;57511973;64819429
2004;1;39661488;61250005
2004;2;51837205;77229178
2004;3;59117356;96103388
2004;4;56984597;96651433
2004;5;55376993;107048802
2004;6;75905106;107820280
2004;7;70750742;92365682
2004;8;95871301;95639310
2004;9;85494452;102769668
2004;10;76550004;107334536
2004;11;75495562;117650914
2004;12;76249305;87926313
2005;1;63511680;96812417
2005;2;64506262;85691720
2005;3;76886236;109727154
2005;4;79758745;97538731
2005;5;84618146;109491825
2005;6;119057433;113650686
2005;7;92196956;117309789
2005;8;106103927;133314259
2005;9;103587517;118996505
2005;10;91185477;133014164
2005;11;77589827;131810906
2005;12;79205924;98222689
2006;1;60744238;101903832
2006;2;85937476;88027266
2006;3;94750597;133024332
2006;4;78356786;131282698
2006;5;90441107;135936659
2006;6;80180641;126600230
2006;7;92315650;135496727
2006;8;95859444;120405602
2006;9;86598513;119936637
2006;10;106355306;119843181
2006;11;94393765;118151494
2006;12;89225616;84579186
2007;1;73733369;103582441
2007;2;78661323;104237824
2007;3;90771658;120766761
2007;4;91856126;128071597
2007;5;98201768;129261113
2007;6;83802843;126118092
2007;7;93134031;142704923
2007;8;98966446;161248785
2007;9;84206702;126278583
2007;10;96970643;147904543
2007;11;86912629;156333109
2007;12;96644963;109955146
2008;1;75341863;149670217
2008;2;106506188;148075116
2008;3;85383165;157441458
2008;4;110196478;174505843
2008;5;96020910;173596849
2008;6;87953150;198546381
2008;7;105536109;233549378
2008;8;96133751;235364119
2008;9;102553273;242575763
2008;10;111489606;237743652
2008;11;81471226;166949578
2008;12;88159239;98461825
2009;1;42281059;99626267
2009;2;72802992;107317930
2009;3;79306431;140351447
2009;4;82171022;122326297
2009;5;66426073;139747020
2009;6;89880874;152988496
2009;7;69284425;167312846
2009;8;77042012;175316154
2009;9;81168216;228159994
2009;10;86624680;186738767
2009;11;84523685;180511992
2009;12;81501484;136687832
2010;1;63672324;161436888
2010;2;69328848;156240100
2010;3;81068821;197849263
2010;4;74411964;208918696
2010;5;81778204;190599836
2010;6;78204635;209451737
2010;7;74891455;270417211
2010;8;79989932;241554599
2010;9;67669353;244358356
2010;10;74442832;260638465
2010;11;86638615;242089509
2010;12;88023490;194842788
2011;1;53888401;276120093
2011;2;74592572;217082668
2011;3;78151668;276588959
2011;4;69579898;278583011
2011;5;83653932;308183596
2011;6;89487793;299613173
2011;7;83803771;341199984
2011;8;109281358;399365700
2011;9;98586658;365609585
2011;10;105287082;301623218
2011;11;111234856;278216065
2011;12;84657594;231675865
2012;1;65629403;291144465
2012;2;77351746;318951142
2012;3;118649140;351010632
2012;4;106427766;323653327
2012;5;114647483;319713247
2012;6;89201249;347305944
2012;7;95114915;321419956
2012;8;104722365;386207753
2012;9;92361811;351292887
2012;10;114904569;410771122
2012;11;118295470;256936436
2012;12;90093966;266012104
2013;1;67010575;342623450
2013;2;73119258;284092020
2013;3;95358820;397048859
2013;4;126399553;404372735
2013;5;123545578;364884522
2013;6;109234171;357343066
2013;7;109847787;368890041
2013;8;110565468;326212120
2013;9;106603629;343019312
2013;10;108657628;402525306
2013;11;115286480;301863034
2013;12;85197727;229972621
2014;1;77665072;341028570
2014;2;104019084;301554098
2014;3;106421989;371733550
2014;4;101527595;332838146
2014;5;131026955;295380091
2014;6;91371223;314847884
2014;7;116585833;333615520
2014;8;101939025;353802146
2014;9;110827332;330083589
2014;10;82632363;361193828
2014;11;103407878;273173261
2014;12;96525946;189128137
2015;1;52859162;305668590
2015;2;79110471;265553311
2015;3;105062589;343282940
2015;4;82978372;287661880
2015;5;81163424;207995258
2015;6;96475715;188852793
2015;7;101639565;213057660
2015;8;85809175;247178287
2015;9;74305957;250293845
2015;10;77664125;260883196
2015;11;74034584;216848623
2015;12;83525035;171064357
2016;1;46682161;232767050
2016;2;63778408;202216918
2016;3;84332596;212620363
2016;4;75560269;198353573
2016;5;72423334;218929004
2016;6;78447198;209761288
2016;7;76314601;208804731
2016;8;77166215;234743011
2016;9;91316279;201893109
2016;10;69314773;214984469
2016;11;75773160;188353477
2016;12;76668128;152262870
2017;1;61827503;214817545
2017;2;63604050;174796803
2017;3;86259905;235464697
2017;4;66039940;231643766
2017;5;87691160;236555396
2017;6;81434088;250162421
2017;7;68564857;251171840
2017;8;98926984;271553948
2017;9;93557410;263049736
2017;10;128123342;260906399
2017;11;103550554;222209174
2017;12;91759798;190605852
2018;1;100531555;294650045
2018;2;99945735;252659340
2018;3;102585402;302263889
2018;4;96349565;271809909
2018;5;73203608;273565366
2018;6;82489265;262565086
2018;7;72062477;268065310
2018;8;109185620;295787470
2018;9;126598432;254405847
2018;10;93107136;285407563
2018;11;81044904;261783096
2018;12;108444794;204303981
2019;1;72976346;298515977
2019;2;73757102;236939764
2019;3;83023982;250821893
2019;4;99309834;246745746
2019;5;90596193;306445675
2019;6;81419305;272306249
2019;7;97777173;246892309
2019;8;102332330;268635793
2019;9;99171140;263586088
2019;10;102434357;277827589
2019;11;80973363;225695173
2019;12;104938645;193561793
2020;1;62378850;241824635
2020;2;57792551;225080550
2020;3;70476323;262022214
2020;4;48259967;166011009
2020;5;41624439;154040705
2020;6;44846925;189282221
2020;7;53060094;221462636
2020;8;77036521;246082886
2020;9;63380427;228682264
2020;10;60857624;247260270
2020;11;69088357;221041213
2020;12;64160210;209875507
2021;1;52938681;228516487
2021;2;47423935;240306454
2021;3;60231311;280954356
2021;4;72109566;229539353
2021;5;66341133;246437058
2021;6;64670245;204697893
2021;7;58744695;251435580
2021;8;79914955;270683638
2021;9;76744653;253350278
2021;10;76319284;233454968
2021;11;75357074;272266080
2021;12;84526014;250521268
2022;1;53056942;291307885
2022;2;67811185;261860458
2022;3;76172792;310180354
2022;4;77265339;252916146
2022;5;88581485;281961996
2022;6;88800950;241458064
2022;7;83023474;262753635
2022;8;100221642;305725451
2022;9;91771368;255385677
2022;10;91140206;294118137
2022;11;89886405;243973835
2022;12;114933073;255749168
2023;1;89294450;300043113
2023;2;83141339;206838804
2023;3;107696234;323086026
2023;4;88965345;295544455
2023;5;117074456;267183009
